bins.1	{'Translation table': 11, 'GC std': 0.019648357430794065, '# ambiguous bases': 0, 'Genome size': 554606, 'Longest contig': 13663, 'N50 (scaffolds)': 3883, 'Mean scaffold length': 3905.676056338028, '# contigs': 142, '# scaffolds': 142, '# predicted genes': 743, 'Longest scaffold': 13663, 'GC': 0.6184011712819552, 'N50 (contigs)': 3883, 'Coding density': 0.9336339671766984, 'Mean contig length': 3905.676056338028}
bins.10	{'Translation table': 11, 'GC std': 0.016827832935629627, '# ambiguous bases': 0, 'Genome size': 403782, 'Longest contig': 11030, 'N50 (scaffolds)': 3515, 'Mean scaffold length': 3605.1964285714284, '# contigs': 112, '# scaffolds': 112, '# predicted genes': 416, 'Longest scaffold': 11030, 'GC': 0.6294559935806945, 'N50 (contigs)': 3515, 'Coding density': 0.9521301098117301, 'Mean contig length': 3605.1964285714284}
bins.13	{'Translation table': 11, 'GC std': 0.013698244860220414, '# ambiguous bases': 0, 'Genome size': 917265, 'Longest contig': 9438, 'N50 (scaffolds)': 3374, 'Mean scaffold length': 3514.425287356322, '# contigs': 261, '# scaffolds': 261, '# predicted genes': 920, 'Longest scaffold': 9438, 'GC': 0.5165650057507918, 'N50 (contigs)': 3374, 'Coding density': 0.9208080543790508, 'Mean contig length': 3514.425287356322}
bins.14	{'Translation table': 11, 'GC std': 0.015728032274129455, '# ambiguous bases': 0, 'Genome size': 1390702, 'Longest contig': 101671, 'N50 (scaffolds)': 29507, 'Mean scaffold length': 20756.746268656716, '# contigs': 67, '# scaffolds': 67, '# predicted genes': 1237, 'Longest scaffold': 101671, 'GC': 0.5432968385750506, 'N50 (contigs)': 29507, 'Coding density': 0.937988871807188, 'Mean contig length': 20756.746268656716}
bins.11	{'Translation table': 11, 'GC std': 0.014859645752471857, '# ambiguous bases': 0, 'Genome size': 2025571, 'Longest contig': 36265, 'N50 (scaffolds)': 6694, 'Mean scaffold length': 5992.8136094674555, '# contigs': 338, '# scaffolds': 338, '# predicted genes': 2003, 'Longest scaffold': 36265, 'GC': 0.4886034604563355, 'N50 (contigs)': 6694, 'Coding density': 0.9271178349216097, 'Mean contig length': 5992.8136094674555}
bins.12	{'Translation table': 11, 'GC std': 0.021787081997835498, '# ambiguous bases': 0, 'Genome size': 1859913, 'Longest contig': 61561, 'N50 (scaffolds)': 4026, 'Mean scaffold length': 4179.5797752808985, '# contigs': 445, '# scaffolds': 445, '# predicted genes': 1968, 'Longest scaffold': 61561, 'GC': 0.44406969573307997, 'N50 (contigs)': 4026, 'Coding density': 0.948594369736649, 'Mean contig length': 4179.5797752808985}
bins.17	{'Translation table': 11, 'GC std': 0.01004719244839837, '# ambiguous bases': 0, 'Genome size': 256895, 'Longest contig': 4623, 'N50 (scaffolds)': 3044, 'Mean scaffold length': 3095.120481927711, '# contigs': 83, '# scaffolds': 83, '# predicted genes': 255, 'Longest scaffold': 4623, 'GC': 0.5571887346970552, 'N50 (contigs)': 3044, 'Coding density': 0.88297164211059, 'Mean contig length': 3095.120481927711}
bins.19	{'Translation table': 11, 'GC std': 0.01379687673212003, '# ambiguous bases': 0, 'Genome size': 1558762, 'Longest contig': 20740, 'N50 (scaffolds)': 4889, 'Mean scaffold length': 4695.066265060241, '# contigs': 332, '# scaffolds': 332, '# predicted genes': 1615, 'Longest scaffold': 20740, 'GC': 0.5781145550122468, 'N50 (contigs)': 4889, 'Coding density': 0.9327171178152919, 'Mean contig length': 4695.066265060241}
bins.16	{'Translation table': 11, 'GC std': 0.015030744443995131, '# ambiguous bases': 0, 'Genome size': 3688347, 'Longest contig': 89244, 'N50 (scaffolds)': 23061, 'Mean scaffold length': 15432.414225941422, '# contigs': 239, '# scaffolds': 239, '# predicted genes': 2979, 'Longest scaffold': 89244, 'GC': 0.6815906963200589, 'N50 (contigs)': 23061, 'Coding density': 0.898006613802877, 'Mean contig length': 15432.414225941422}
bins.2	{'Translation table': 11, 'GC std': 0.014728476186488936, '# ambiguous bases': 0, 'Genome size': 1776446, 'Longest contig': 74201, 'N50 (scaffolds)': 10889, 'Mean scaffold length': 7966.125560538117, '# contigs': 223, '# scaffolds': 223, '# predicted genes': 1907, 'Longest scaffold': 74201, 'GC': 0.4484020341738505, 'N50 (contigs)': 10889, 'Coding density': 0.9423219169060022, 'Mean contig length': 7966.125560538117}
bins.15	{'Translation table': 11, 'GC std': 0.02463888854431483, '# ambiguous bases': 0, 'Genome size': 4045305, 'Longest contig': 24618, 'N50 (scaffolds)': 4958, 'Mean scaffold length': 4827.332935560859, '# contigs': 838, '# scaffolds': 838, '# predicted genes': 3812, 'Longest scaffold': 24618, 'GC': 0.6178893804051858, 'N50 (contigs)': 4958, 'Coding density': 0.906162576122196, 'Mean contig length': 4827.332935560859}
bins.20	{'Translation table': 11, 'GC std': 0.013344912719006825, '# ambiguous bases': 0, 'Genome size': 2010915, 'Longest contig': 30691, 'N50 (scaffolds)': 5016, 'Mean scaffold length': 4822.338129496403, '# contigs': 417, '# scaffolds': 417, '# predicted genes': 2595, 'Longest scaffold': 30691, 'GC': 0.3482071594274248, 'N50 (contigs)': 5016, 'Coding density': 0.9300601964777229, 'Mean contig length': 4822.338129496403}
bins.22	{'Translation table': 11, 'GC std': 0.022977226195524728, '# ambiguous bases': 0, 'Genome size': 2644130, 'Longest contig': 46788, 'N50 (scaffolds)': 11899, 'Mean scaffold length': 9086.357388316152, '# contigs': 291, '# scaffolds': 291, '# predicted genes': 2525, 'Longest scaffold': 46788, 'GC': 0.45746616089224057, 'N50 (contigs)': 11899, 'Coding density': 0.8912795513079916, 'Mean contig length': 9086.357388316152}
